iter	Passed	Remaining
0	358	3585279
1	733	3666821
2	1282	4272920
3	1710	4275088
4	2077	4153471
5	2435	4056531
6	2832	4044266
7	3178	3970518
8	3537	3926608
9	3919	3915566
10	4277	3884640
11	4631	3854819
12	4997	3839158
13	5353	3818911
14	5727	3812793
15	6127	3823416
16	6468	3798568
17	6831	3788647
18	7173	3768296
19	7522	3753796
20	7862	3736065
21	8216	3726496
22	8604	3732455
23	8967	3727594
24	9327	3721556
25	9677	3712380
26	10038	3708105
27	10388	3699855
28	10757	3698844
29	11121	3695993
30	11465	3687089
31	11814	3680188
32	12161	3673252
33	12538	3675117
34	12913	3676632
35	13282	3676164
36	13634	3671453
37	13999	3669961
38	14329	3659795
39	14676	3654433
40	15027	3650294
41	15386	3648149
42	15747	3646382
43	16098	3642597
44	16445	3638214
45	16794	3634085
46	17144	3630698
47	17507	3629895
48	17888	3632777
49	18244	3630748
50	18582	3625112
51	18929	3621296
52	19283	3619057
53	19623	3614388
54	19984	3613591
55	20340	3611953
56	20685	3608262
57	21019	3603109
58	21365	3599882
59	21709	3596464
60	22085	3598461
61	22455	3599414
62	22798	3595987
63	23137	3592141
64	23480	3588901
65	23821	3585472
66	24145	3579593
67	24486	3576505
68	24856	3577490
69	25202	3575130
70	25535	3571039
71	25888	3569736
72	26228	3566696
73	26578	3565069
74	26938	3564814
75	27312	3566443
76	27671	3566028
77	28048	3567912
78	28409	3567741
79	28794	3570553
80	29200	3575765
81	29605	3580815
82	29994	3583827
83	30367	3584835
84	30756	3587642
85	31166	3592900
86	31560	3596078
87	31970	3601049
88	32340	3601472
89	32743	3605468
90	33107	3605052
91	33470	3604581
92	33843	3605287
93	34245	3608881
94	34610	3608565
95	34974	3608216
96	35386	3612734
97	35836	3620959
98	36216	3622033
99	36628	3626238
100	37002	3626566
101	37408	3630067
102	37791	3631246
103	38183	3633341
104	38577	3635514
105	38999	3640182
106	39375	3640601
107	39806	3646024
108	40192	3647194
109	40583	3648845
110	40986	3651519
111	41371	3652485
112	41751	3653031
113	42139	3654294
114	42506	3653710
115	42878	3653504
116	43261	3654334
117	43656	3656055
118	44049	3657572
119	44409	3656411
120	44783	3656364
121	45151	3655812
122	45493	3653187
123	45828	3649978
124	46206	3650286
125	46550	3647964
126	46898	3645890
127	47245	3643830
128	47586	3641271
129	47931	3639094
130	48280	3637286
131	48668	3638323
132	49092	3642075
133	49436	3639862
134	49771	3636971
135	50122	3635320
136	50471	3633604
137	50837	3633043
138	51188	3631426
139	51536	3629675
140	51870	3626896
141	52207	3624408
142	52561	3623099
143	52901	3620826
144	53272	3620689
145	53623	3619194
146	53955	3616515
147	54289	3613898
148	54674	3614743
149	55019	3612965
150	55378	3612060
151	55752	3612194
152	56101	3610669
153	56436	3608243
154	56801	3607833
155	57156	3606721
156	57518	3606094
157	57903	3606898
158	58288	3607629
159	58663	3607818
160	59030	3607481
161	59375	3605765
162	59734	3604969
163	60117	3605608
164	60518	3607283
165	60851	3604906
166	61185	3602614
167	61529	3600911
168	61872	3599235
169	62214	3597488
170	62567	3596373
171	62932	3595949
172	63287	3594971
173	63634	3593517
174	63990	3592631
175	64326	3590599
176	64666	3588787
177	65045	3589184
178	65385	3587443
179	65735	3586220
180	66080	3584790
181	66422	3583156
182	66792	3583085
183	67208	3585404
184	67589	3585903
185	67932	3584337
186	68280	3583065
187	68622	3581513
188	68969	3580209
189	69312	3578728
190	69687	3578850
191	70050	3578437
192	70388	3576696
193	70731	3575208
194	71080	3574077
195	71423	3572621
196	71759	3570845
197	72141	3571389
198	72485	3569995
199	72826	3568514
200	73155	3566401
201	73531	3566657
202	73890	3566048
203	74235	3564759
204	74621	3565473
205	74977	3564707
206	75313	3563033
207	75645	3561172
208	75980	3559463
209	76331	3558508
210	76694	3558104
211	77072	3558408
212	77429	3557761
213	77775	3556600
214	78125	3555611
215	78464	3554169
216	78817	3553303
217	79180	3552950
218	79528	3551899
219	79881	3551083
220	80212	3549318
221	80554	3548041
222	80890	3546500
223	81258	3546364
224	81647	3547113
225	82004	3546533
226	82353	3545573
227	82704	3544678
228	83066	3544283
229	83406	3542976
230	83742	3541458
231	84120	3541750
232	84512	3542627
233	84865	3541867
234	85206	3540607
235	85553	3539601
236	85890	3538201
237	86271	3538575
238	86632	3538140
239	86984	3537385
240	87335	3536546
241	87674	3535225
242	88015	3534019
243	88350	3532590
244	88725	3532712
245	89072	3531760
246	89405	3530259
247	89743	3528928
248	90087	3527902
249	90412	3526074
250	90768	3525498
251	91146	3525764
252	91549	3526995
253	91924	3527142
254	92266	3526026
255	92628	3525690
256	92995	3525489
257	93449	3528607
258	93792	3527529
259	94148	3526952
260	94486	3525670
261	94848	3525321
262	95180	3523835
263	95532	3523121
264	95900	3522982
265	96251	3522223
266	96595	3521213
267	96933	3519990
268	97299	3519788
269	97652	3519095
270	97996	3518116
271	98376	3518415
272	98713	3517180
273	99049	3515879
274	99372	3514174
275	99706	3512855
276	100056	3512084
277	100419	3511786
278	100778	3511366
279	101126	3510532
280	101458	3509162
281	101791	3507837
282	102129	3506695
283	102465	3505482
284	102834	3505389
285	103184	3504657
286	103518	3503390
287	103861	3502448
288	104199	3501319
289	104556	3500841
290	104931	3500958
291	105297	3500778
292	105665	3500666
293	106026	3500333
294	106369	3499362
295	106710	3498365
296	107058	3497593
297	107393	3496425
298	107767	3496485
299	108104	3495393
300	108457	3494781
301	108822	3494583
302	109187	3494344
303	109508	3492740
304	109905	3493559
305	110252	3492781
306	110585	3491542
307	110945	3491186
308	111288	3490291
309	111621	3489072
310	111981	3488706
311	112362	3489007
312	112724	3488682
313	113125	3489605
314	113470	3488755
315	113815	3487931
316	114160	3487111
317	114497	3486065
318	114880	3486381
319	115215	3485266
320	115567	3484676
321	115924	3484214
322	116287	3483946
323	116643	3483452
324	117007	3483226
325	117375	3483102
326	117711	3482028
327	118060	3481351
328	118411	3480715
329	118782	3480680
330	119118	3479615
331	119499	3479891
332	119854	3479369
333	120240	3479781
334	120640	3480573
335	121091	3482816
336	121525	3484560
337	121957	3486243
338	122333	3486315
339	122860	3490696
340	123242	3490897
341	123634	3491402
342	124027	3491923
343	124458	3493509
344	124877	3494765
345	125255	3494851
346	125716	3497238
347	126182	3499763
348	126614	3501302
349	127035	3502561
350	127438	3503296
351	127835	3503866
352	128280	3505740
353	128661	3505842
354	129058	3506398
355	129500	3508162
356	129873	3508039
357	130213	3507034
358	130570	3506501
359	131008	3508120
360	131407	3508693
361	131876	3511123
362	132272	3511598
363	132695	3512785
364	133104	3513586
365	133519	3514554
366	133952	3515980
367	134421	3518333
368	134818	3518811
369	135215	3519252
370	135618	3519875
371	135980	3519397
372	136352	3519215
373	136727	3519081
374	137107	3519084
375	137443	3517962
376	137819	3517872
377	138174	3517242
378	138533	3516691
379	138939	3517364
380	139305	3517013
381	139681	3516892
382	140026	3516015
383	140375	3515233
384	140742	3514917
385	141115	3514736
386	141467	3514020
387	141813	3513171
388	142167	3512531
389	142514	3511711
390	142881	3511371
391	143231	3510633
392	143607	3510526
393	144001	3510860
394	144365	3510457
395	144709	3509565
396	145062	3508913
397	145405	3508005
398	145774	3507731
399	146126	3507034
400	146465	3506039
401	146869	3506595
402	147232	3506169
403	147575	3505294
404	147956	3505284
405	148345	3505480
406	148674	3504255
